userId,movieId,prediction
4,318,4.624113
4,2571,4.5566936
4,1196,4.533291
4,260,4.530176
4,58559,4.517324
19,2571,4.396284
19,58559,4.3424273
19,1196,4.2903214
19,2959,4.24379
19,260,4.237199
42,296,4.723527
42,7327,4.716737
42,1217,4.7041516
42,6669,4.697529
42,1232,4.697023
43,858,4.920534
43,6669,4.9090753
43,296,4.8832183
43,1221,4.882991
43,2959,4.8760376
51,318,4.259281
51,1207,4.18557
51,177765,4.177619
51,134130,4.1681337
51,160718,4.1660595
71,318,4.4077272
71,858,4.3818398
71,1217,4.3458934
71,6669,4.322937
71,26131,4.2911205
73,858,4.6376624
73,6669,4.611768
73,1178,4.585525
73,296,4.5678144
73,1221,4.567175
79,1196,4.861643
79,260,4.8223777
79,858,4.813621
79,745,4.7996264
79,5971,4.770508
81,296,4.6431494
81,541,4.597515
81,1206,4.5817056
81,924,4.5588884
81,1217,4.5374365
100,296,4.605818
100,2959,4.586224
100,858,4.5568924
100,1221,4.498249
100,2571,4.4967675
138,858,4.863317
138,6669,4.8447647
138,296,4.8301315
138,1178,4.826203
138,26131,4.8214474
147,1207,4.291916
147,858,4.287812
147,745,4.208246
147,1221,4.1736794
147,5618,4.127371
160,318,4.882435
160,858,4.8606358
160,1221,4.808676
160,926,4.7718277
160,50,4.767632
173,858,4.5806236
173,6669,4.574231
173,318,4.573744
173,1196,4.5595055
173,260,4.5547943
176,2571,4.316042
176,58559,4.1951694
176,1196,4.182466
176,260,4.180267
176,122904,4.0509663
180,318,4.945778
180,858,4.862934
180,50,4.829443
180,160718,4.8178487
180,44555,4.8112283
183,318,4.7721653
183,1178,4.768177
183,858,4.7601957
183,926,4.7575827
183,6669,4.750957
185,858,4.687234
185,318,4.685773
185,1178,4.6486335
185,127098,4.6460423
185,1207,4.6438503
196,318,4.504778
196,858,4.381092
196,950,4.2997417
196,1207,4.2689548
196,954,4.2468214
239,296,3.8506942
239,858,3.7528024
239,5008,3.7330904
239,44555,3.692144
239,5618,3.689363
255,858,4.792489
255,6669,4.7853503
255,926,4.774067
255,1178,4.76851
255,296,4.7651916
277,1232,4.2493544
277,296,4.2195206
277,7327,4.1773276
277,1217,4.1549997
277,6669,4.1149206
295,6669,4.554613
295,318,4.549944
295,858,4.543598
295,1207,4.5068693
295,44555,4.4934244
313,858,4.6998053
313,50,4.6642766
313,1221,4.6429815
313,2959,4.6391363
313,318,4.6211658
319,318,4.457123
319,92259,4.36514
319,160718,4.336997
319,112552,4.2443037
319,2324,4.2230372
321,2959,4.1059036
321,296,4.100884
321,318,4.0406003
321,5291,4.008128
321,5971,3.9938922
339,296,4.245774
339,1884,4.2036242
339,32,4.13409
339,1732,4.1317253
339,2959,4.112949
345,318,4.453662
345,858,4.453187
345,1196,4.3897233
345,1221,4.3447394
345,296,4.319436
374,318,4.7888985
374,160718,4.743153
374,858,4.7353487
374,1221,4.704213
374,5008,4.702875
382,318,4.6704774
382,858,4.6182575
382,1221,4.564357
382,1207,4.562534
382,50,4.5511837
384,318,4.4173303
384,2858,4.3558464
384,44555,4.349897
384,3677,4.319831
384,858,4.312166
402,318,4.505971
402,1207,4.40726
402,160718,4.344408
402,858,4.2964487
402,112552,4.2946143
408,318,3.9471357
408,926,3.9055514
408,4973,3.8174653
408,858,3.8073773
408,5008,3.7741609
443,318,4.6846914
443,58559,4.530257
443,160718,4.519196
443,1196,4.499345
443,92259,4.496782
449,318,3.8007426
449,142488,3.5518126
449,76093,3.546049
449,177765,3.5336556
449,2324,3.4819903
450,6669,4.6483917
450,858,4.6464863
450,745,4.6044207
450,3030,4.594121
450,296,4.5935774
465,296,4.2679386
465,541,4.07957
465,5618,4.0786996
465,2959,4.042859
465,5291,4.031792
473,858,4.777686
473,6669,4.7612143
473,1221,4.7355394
473,1178,4.732421
473,926,4.727471
491,318,4.8473206
491,160718,4.7810793
491,858,4.77942
491,50,4.745417
491,5008,4.7396097
497,858,4.756489
497,6669,4.724863
497,1178,4.7135296
497,926,4.6908617
497,1221,4.68618
502,858,4.795607
502,1221,4.7325034
502,1178,4.71576
502,1196,4.6666975
502,50,4.6451116
549,858,4.9569445
549,1178,4.9179144
549,6669,4.907114
549,926,4.886038
549,1221,4.873207
559,858,4.4847374
559,6669,4.460631
559,318,4.4272623
559,1178,4.408495
559,1221,4.407222
572,318,4.215638
572,160718,4.1912932
572,3147,4.101215
572,1270,4.0985622
572,92259,4.09829
590,6669,4.596903
590,296,4.5939207
590,858,4.5758405
590,2959,4.5557384
590,2858,4.5202913
593,858,4.5130506
593,318,4.488924
593,6669,4.4828897
593,5008,4.4722986
593,44555,4.467374
604,318,4.657999
604,1207,4.564268
604,5008,4.5468326
604,160718,4.526695
604,92259,4.5204563
605,111362,3.930841
605,122922,3.9015284
605,2571,3.8771675
605,89745,3.8626983
605,106489,3.7898684
667,318,4.497341
667,160718,4.1966934
667,92259,4.19307
667,356,4.1875343
667,112552,4.159568
669,1196,4.131983
669,260,4.0766926
669,858,3.9627428
669,58559,3.9351525
669,5971,3.929623
670,318,4.50284
670,92259,4.3649545
670,177765,4.348336
