userId,movieId,rating
100007,1304,5.0
100007,3504,3.0
100007,934,4.0
100020,1036,4.0
100024,1036,5.0
100024,1233,4.5
100024,1625,4.5
100024,165,5.0
100024,1882,4.5
100024,2085,1.0
100024,3698,2.5
100024,377,4.0
100024,4270,4.0
100024,46530,2.5
100024,590,3.0
100024,62049,4.0
100024,7254,4.5
100024,737,1.5
100064,316,3.0
100064,358,3.0
100064,377,4.0
100064,736,4.0
100090,1265,5.0
100090,1888,5.0
100090,3253,3.0
100090,3834,4.0
100090,539,3.0
100091,2021,4.5
100091,2916,4.0
100091,33493,4.0
100091,3785,1.5
100091,49272,4.5
100091,543,2.0
100091,59315,5.0
100091,8368,4.5
100113,26375,4.0
100113,8368,1.0
100113,976,5.0
10013,165,2.0
10013,539,3.0
10013,581,4.0
100140,111,4.5
100178,106696,4.0
100178,1127,4.0
100178,122924,3.5
100178,1233,4.0
100178,1270,4.5
100178,1385,3.0
100178,2231,3.5
100178,300,3.5
100178,3071,4.5
100178,32298,3.5
100178,33493,4.0
100178,36519,3.0
100178,377,3.0
100178,4270,3.0
100178,49272,4.0
100178,5313,2.5
100178,5418,3.0
100178,5478,3.5
100178,55267,3.5
100178,5553,3.5
100178,59315,3.0
100178,61248,3.5
100178,6377,4.5
100178,79132,2.0
100178,8529,3.0
100181,2355,4.0
100181,2366,2.0
100181,2916,4.0
100181,316,4.0
100192,1283,4.0
100192,1348,4.0
100192,2186,3.0
100192,750,5.0
100202,165,5.0
100202,204,5.0
100215,1265,5.0
100219,33493,2.5
100219,5418,5.0
100219,58559,4.5
100219,59315,5.0
100219,912,5.0
100228,377,5.0
100228,733,5.0
10027,105,2.0
10027,1060,4.0
10027,1096,1.0
10027,1464,4.0
10027,1466,4.0
10027,165,2.0
10027,2064,4.0
10027,213,5.0
10027,2184,4.0
10027,2186,3.5
10027,2331,3.0
10027,2355,3.0
10027,2916,1.0
10027,3182,4.0
10027,3504,5.0
10027,377,2.0
10027,3785,2.0
10027,39292,4.5
10027,4448,3.0
10027,481,4.0
10027,49272,4.0
10027,54881,3.0
10027,55280,4.5
10027,60069,3.0
10027,6016,4.0
10027,69481,5.0
10027,79132,2.5
100282,101362,2.5
100282,1036,5.0
100282,1207,3.5
100282,1220,3.5
100282,1270,3.0
100282,1587,2.5
100282,166528,3.5
100282,1882,3.0
100282,2167,3.0
100282,2916,3.0
100282,5418,3.5
100282,59615,3.0
100282,6377,2.0
100282,68157,3.0
100282,71530,3.0
100282,7254,2.0
100282,7386,3.5
100282,8636,2.0
10029,68954,4.5
10029,70293,4.0
100310,1204,3.0
100310,2496,2.5
100310,2497,1.0
100310,2885,2.5
100310,5349,2.0
100310,5610,2.0
100310,590,1.5
100310,750,3.5
100310,8368,4.0
100314,4701,4.0
100318,6016,5.0
100318,68954,3.5
100363,2944,4.0
100369,733,5.0
100369,736,4.0
100371,1127,3.0
100371,1233,5.0
100383,1265,5.0
100383,2572,3.0
100383,316,4.0
100383,539,4.0
100402,300,4.0
100402,481,4.0
100402,736,3.0
100410,1148,4.0
100410,1625,3.0
100410,2046,2.0
100410,21,3.0
100410,2167,1.0
100410,733,1.0
100417,1587,5.0
100417,1625,4.0
100417,21,3.5
100417,2176,4.0
100417,2560,4.0
100417,3301,4.0
100417,33493,3.0
100417,377,4.0
100417,3897,2.0
100417,3968,3.0
100417,5418,3.5
100417,590,4.0
100417,6294,3.0
100417,6862,3.5
100417,736,3.0
100424,1185,4.0
100424,1201,4.0
100424,1283,3.5
100424,6666,2.5
100448,2355,4.0
100449,31952,4.0
100449,5516,3.5
100452,2366,2.0
100452,880,1.0
100479,1036,5.0
100479,1220,5.0
100479,1265,4.0
100479,1466,3.0
100479,1679,0.5
100479,1836,2.0
100479,1882,3.0
100479,1917,3.5
100479,204,0.5
100479,21,3.0
100479,2167,2.0
100479,2231,3.0
100479,2334,3.5
100479,2355,4.0
100479,2496,3.0
100479,252,3.0
100479,2701,2.0
100479,300,3.0
100479,3120,2.0
100479,3253,3.5
100479,3556,2.0
100479,35836,3.5
100479,3897,4.0
100479,3953,2.0
100479,4010,3.0
100479,45950,4.5
100479,507,2.0
100479,50872,3.5
100479,543,2.0
100479,5636,2.5
100479,62434,3.5
100479,6879,3.5
100479,750,2.5
100479,799,2.0
100479,8368,3.5
100479,8636,4.0
100481,1060,3.5
100481,111,3.5
100481,1265,5.0
100481,1552,2.0
100481,2140,3.0
100481,30793,4.0
100481,33166,5.0
100481,3698,2.0
100481,3741,3.5
100481,49272,3.0
100481,5151,1.0
100481,539,4.5
100481,5418,5.0
100481,6953,3.5
100481,733,1.0
100481,8636,3.5
100481,912,4.0
100488,4701,3.0
100488,5349,4.0
100488,5418,4.0
100488,590,4.0
100504,1186,4.0
100504,1204,2.5
100504,1233,2.0
100504,1265,3.5
100504,1276,4.5
100504,1466,3.5
100504,1517,3.5
100504,1889,3.5
100504,2176,3.5
100504,2916,3.5
100504,3174,3.0
100504,33166,4.0
100504,3489,3.0
100504,377,3.0
100504,39292,3.5
100504,5051,4.5
100504,5146,3.5
100504,5633,3.0
100504,5673,3.0
100504,750,1.5
100526,1204,4.5
100526,7254,4.0
100547,1060,4.0
100548,2085,3.0
100548,2916,2.0
100549,1270,3.0
100549,165,3.5
100549,2701,2.5
100566,1204,5.0
100566,1233,5.0
100566,912,5.0
100568,105,4.0
100583,30793,5.0
100583,56174,3.5
100583,60069,3.0
100585,1148,5.0
100585,58559,5.0
100585,908,5.0
100587,300,5.0
100587,590,4.0
100587,608,5.0
10059,377,4.0
10059,590,3.0
10059,608,4.0
10062,3062,5.0
100660,204,4.0
100660,539,3.0
100678,113453,5.0
100678,2403,1.5
100678,3489,2.0
100678,3698,4.0
100678,7254,4.5
100678,79132,5.0
100678,91653,0.5
1007,1265,4.0
1007,377,1.0
100701,1625,3.5
100701,1748,4.0
100701,1917,1.0
100701,2021,3.5
100701,2076,3.5
100701,2186,3.5
100701,37386,3.0
100701,6721,4.0
100701,680,2.0
100701,6953,3.5
100701,7254,2.0
100701,733,2.0
100701,736,1.0
100701,799,2.5
100702,112623,3.5
100702,165,5.0
100702,30812,2.0
100702,3301,3.0
100702,33166,5.0
100702,47099,3.5
100702,49272,5.0
100702,5418,4.0
100702,608,3.0
100702,68157,3.0
100702,750,1.5
100702,8529,2.5
100702,8636,2.0
100729,53125,5.0
100730,1036,4.0
100730,104243,4.0
100730,112623,5.0
100730,113453,5.0
100730,1148,3.0
100730,122924,2.5
100730,1270,2.0
100730,128838,2.0
100730,1517,5.0
100730,151739,5.0
100730,1552,4.0
100730,160565,1.5
100730,1625,5.0
100730,165,3.0
100730,2081,3.0
100730,2167,4.0
100730,27788,1.0
100730,33681,3.0
100730,3489,5.0
100730,36519,2.0
100730,3785,2.0
100730,45447,5.0
100730,50872,3.0
100730,53125,2.5
100730,5313,3.5
100730,62434,4.0
100730,68659,5.0
100730,6979,5.0
100730,750,5.0
100730,78637,5.0
100730,84601,3.0
100730,95207,4.0
100730,97870,1.0
100769,55290,3.0
10078,507,4.0
10078,590,5.0
10078,733,3.0
100791,1220,4.5
100804,1917,3.5
100804,2421,2.5
100804,49272,3.5
100804,5349,4.5
100804,59315,4.0
100804,6377,4.0
100804,68954,4.5
100804,79132,5.0
100804,8368,4.5
100807,1270,4.0
100807,1517,5.0
100807,1552,3.0
100807,165,4.5
100807,1917,3.5
100807,2081,4.0
100807,2788,5.0
100807,30793,3.5
100807,3174,5.0
100807,33358,4.5
100807,35836,3.0
100807,377,4.0
100807,4393,4.0
100807,45517,2.5
100807,59315,3.5
100807,8368,3.5
100819,1545,5.0
100819,1719,4.0
100819,377,1.0
100819,608,2.0
100820,2916,4.0
100837,101076,4.0
100837,106441,5.0
100837,106918,4.0
100837,118082,2.5
100837,134170,1.0
100837,1587,2.5
100837,2064,4.0
100837,2412,2.5
100837,3062,4.0
100837,3120,2.5
100837,46530,3.0
100837,5146,4.0
100837,53125,4.5
100837,5349,4.5
100837,54278,2.0
100837,60069,5.0
100837,60516,4.0
100837,61248,4.0
100837,68157,2.5
100837,70533,5.0
100837,7261,3.0
100837,7293,3.0
100837,733,4.0
100837,87222,5.0
100837,89002,2.0
100839,30793,2.5
100839,5349,3.0
100839,5418,2.0
100839,56174,3.0
100844,608,4.0
100852,33166,5.0
100852,35836,1.0
100852,6016,5.0
100852,6953,4.5
100855,111,5.0
100855,3897,4.5
100855,39292,4.0
100855,45447,2.5
100855,6016,5.0
100857,107069,4.0
100857,111,4.5
100857,90345,3.0
100865,1009,4.0
100865,111,5.0
100865,1265,5.0
100865,1379,3.0
100865,1587,4.0
100865,2355,4.5
100865,2788,4.5
100865,3489,4.0
100865,358,4.0
100865,4270,2.0
100865,43560,4.0
100865,45447,2.0
100865,456,4.0
100865,4757,3.5
100865,539,3.0
100865,5568,4.0
100865,590,4.5
100865,6879,3.5
100865,8529,4.0
100865,912,4.5
100877,3741,4.0
100877,3897,4.0
100877,608,5.0
100884,1204,5.0
100884,1265,3.0
100884,2729,4.0
100890,165,3.0
100890,21,4.0
100890,308,5.0
100890,358,3.0
100890,543,3.0
100890,608,5.0
100890,64,1.0
100890,733,2.0
100908,1270,5.0
100908,608,5.0
100909,316,3.0
100909,377,4.0
100909,539,4.0
100910,1127,2.0
100910,2076,2.0
100910,3489,4.0
100917,1270,3.0
100917,35836,3.5
100917,6377,4.0
100917,6987,2.5
100917,8368,2.0
100917,910,3.0
100917,934,3.0
100934,165,4.5
100934,2176,4.0
100934,5418,4.0
100934,6942,4.0
100934,7254,4.0
100934,8636,4.0
100954,101962,3.5
100954,1148,4.0
100954,1201,4.0
100954,1204,5.0
100954,1379,2.0
100954,1619,3.5
100954,2021,2.0
100954,2572,3.0
100954,300,3.5
100954,3083,5.0
100954,33166,3.5
100954,3556,3.5
100954,3787,3.5
100954,3863,2.5
100954,3897,4.0
100954,5617,4.5
100954,5890,4.0
100954,590,4.0
100954,60069,4.0
100954,608,4.0
100954,6558,1.5
100954,70293,3.0
100954,74791,5.0
100954,750,4.0
100954,8368,3.5
100954,888,0.5
100954,910,4.5
100961,79132,4.5
100962,111,4.5
100962,1464,4.5
100962,1517,3.0
100962,2572,4.0
100962,3897,3.5
100962,6942,3.5
100962,7789,4.0
100990,377,5.0
100990,608,5.0
